url,primary_topic,assigned_topic,relevance_score,key_sentence,is_primary,coverage_quality,confidence_score,matches_predefined,missing_topic_suggestion
https://web.archive.org/web/20241116024131/https://allafrica.com/stories/202411150102.html,Election Violence,Insurgency Crisis,medium,"The current 'unrest is not only about contested election results,' warns Sam Jones from UNU-Wider.",false,good,high,true,none
https://web.archive.org/web/20241116024131/https://allafrica.com/stories/202411150102.html,Election Violence,Economic Disparities,medium,"It is not just about massive electoral fraud, but also about growing poverty and lack of a future.",false,good,high,true,none
https://web.archive.org/web/20241116122202/https://issafrica.org/iss-today/the-many-roots-of-mozambiques-deadly-insurgency,Insurgency Crisis,Insurgency Crisis,high,Over 4 000 people have been killed and 800 000 displaced due to the insurgency that broke out at the end of 2017.,true,excellent,high,true,
https://www.africanews.com/2024/11/26/10-children-killed-in-mozambique-election-protests-hrw/,Election Violence,Election Violence,high,Mozambique security forces killed at least 10 children and injured dozens of others while trying to suppress weeks of protests following a disputed presidential election.,true,excellent,high,true,none
https://www.africanews.com/2024/12/07/following-deadly-mozambique-protests-ngo-reports-higher-death-toll/,Election Violence,Election Violence,high,"The protests, fuelled by anger over the disputed October elections, quickly escalated, leading to violent clashes with security forces.",true,excellent,high,true,
https://allafrica.com/stories/202412060012.html,Election Violence,Election Violence,high,The protests that followed Mozambique's contested October elections have been the most protracted and deadliest since multiparty democracy in 1990.,true,excellent,high,true,
https://www.africanews.com/2024/12/17/damage-and-rebuilding-after-cyclone-chido-hits-mozambique/,Climate Challenges,Climate Challenges,high,"Cyclone Chido inflicted widespread damage on Mayotte, a French territory in the Indian Ocean, resulting in numerous fatalities as it headed toward Africa's eastern coastline.",true,excellent,high,true,
https://allafrica.com/stories/202412180040.html,Climate Challenges,Climate Challenges,high,"Tropical Cyclone Chido ripped through Southern Africa, killing nearly 100 people in Mozambique and damaging thousands of homes and buildings.",true,excellent,high,true,none
https://www.africanews.com/2024/12/18/cyclone-chido-kills-at-least-45-people-in-mozambique-and-leaves-hundreds-injured/,Climate Challenges,Climate Challenges,high,The United Nations says the death toll in Mozambique has risen to at least 45 with hundreds others injured following the passage on Sunday of Tropical Cyclone Chido.,true,excellent,high,true,none
https://www.africanews.com/2024/12/18/cyclone-chido-kills-at-least-45-people-in-mozambique-and-leaves-hundreds-injured/,Climate Challenges,Humanitarian Response,high,Emergency teams are working to provide relief to displaced families and assess the full extent of the damage.,false,excellent,high,true,none
https://www.dw.com/en/more-climate-challenges-ahead-for-mozambique-and-malawi/a-71106623,Climate Challenges,Climate Challenges,high,Cyclone Chido has brought widespread devastation to northern Mozambique.,true,excellent,high,true,
https://www.iol.co.za/news/africa/cyclone-chido-death-toll-rises-to-94-in-mozambique-110000-homes-destroyed-97eb92f8-5961-411e-8f6f-12755c73b6fb,Climate Challenges,Climate Challenges,high,Cyclone Chido killed at least 94 people in Mozambique in its deadly rampage through the Indian Ocean last week.,true,excellent,high,true,none
https://www.africanews.com/2024/12/23/cyclone-chido-leaves-94-dead-in-mozambique/,Climate Challenges,Climate Challenges,high,Cyclone Chido has claimed 94 lives in Mozambique since making landfall last week.,true,excellent,high,true,
https://allafrica.com/stories/202412220112.html,Election Violence,Election Violence,high,Mondlane is threatening a further round of rioting which he has baptised 'Turbo V8'.,true,excellent,high,true,
https://allafrica.com/stories/202412230047.html,Economic Disparities,Economic Disparities,high,Nearly all resource companies operating in Mozambique made promises to local people which were never kept and which became long-standing grievances which were incorporate into local post-election protests.,true,good,high,true,none
https://allafrica.com/stories/202412230047.html,Economic Disparities,Election Violence,high,"In two months of protests, more than 130 protesters have been killed by police.",false,good,high,true,none
https://allafrica.com/stories/202412230047.html,Economic Disparities,Social Media Restrictions,medium,The protests which have continued and grown for two months surprised most people (including this writer).,false,good,high,true,none
https://allafrica.com/stories/202412230051.html,Election Violence,Election Violence,high,"After riot police dispersed a mob from the vicinity of Frelimo's local headquarters, people set up burning barricades to block traffic.",true,good,high,true,no missing topics
https://allafrica.com/stories/202412230051.html,Election Violence,Climate Challenges,medium,Nyusi also announced two days of national mourning for the victims of tropical cyclone Chido which hit the northern provinces of Cabo Delgado and Nampula on 15 December.,false,good,high,true,no missing topics
https://www.dw.com/en/mozambique-top-court-confirms-disputed-frelimo-election-victory/a-71147364,Election Violence,Election Violence,high,"At least 130 people were killed in clashes with police, according to the civil society monitoring group Plataforma Decide.",true,excellent,high,true,
https://www.nytimes.com/2024/12/23/world/africa/mozambique-disputed-election-results-upheld-chapo.html,Election Violence,Election Violence,high,"This is the latest round of unrest since the October election in Mozambique, where more than 100 people have been killed in protests...",true,excellent,high,true,
https://allafrica.com/stories/202412240500.html,Election Violence,Election Violence,high,The results were initially announced by the National Election Commission in late October and triggered protests for more than eight weeks after Mondlane rejected the result and called for protests that resulted in at least 130 deaths in clashes with the police.,true,excellent,high,true,
https://web.archive.org/web/20241203212317/https://www.thenewhumanitarian.org/news-feature/2024/10/08/mozambique-cabo-delgado-insurgency-conflict-without-end,Insurgency Crisis,Insurgency Crisis,high,"The extreme violence of so-called Islamic State in Mozambique, known locally as al-Shabab, has forced roughly a million people from their homes, killed an estimated 4,000 civilians, and stunted economic growth in a gas and resource-rich province.",true,excellent,high,true,none
https://web.archive.org/web/20241203212317/https://www.thenewhumanitarian.org/news-feature/2024/10/08/mozambique-cabo-delgado-insurgency-conflict-without-end,Insurgency Crisis,Humanitarian Response,high,"According to the UN’s refugee agency, UNHCR, only 30-40% of displaced people are receiving basic humanitarian assistance in dozens of camps in Cabo Delgado.",false,excellent,high,true,none
https://www.bbc.com/news/articles/cnv36qrnejno,Election Violence,Election Violence,high,"Thirty-three people were killed and 15 injured in clashes with guards, police chief Bernardino Rafael told a press conference.",true,excellent,high,true,
https://www.dw.com/en/mozambique-over-1500-inmates-escape-maputo-jail-after-riot/a-71159126,Election Violence,Election Violence,high,"In the past several days, Mozambique has been facing an escalation of protests after the election result had been announced.",true,excellent,high,true,
https://www.africanews.com/2024/12/25/21-dead-as-mozambique-erupts-in-violence-after-election-court-ruling/,Election Violence,Election Violence,high,"The violence has resulted in the arrests of at least 78 people, with the government warning of more detentions as protests continue.",true,excellent,high,true,
https://web.archive.org/web/20241226143912/https://www.africanews.com/2024/12/26/1500-escape-mozambique-prison-33-dead-in-post-election-chaos/,Election Violence,Election Violence,high,"The violence surrounding the election has claimed 248 lives in the last two months, according to the NGO Plataforma Decide.",true,excellent,high,true,none
https://www.dw.com/en/mozambiques-major-cities-paralyzed-by-post-election-unrest/a-71172456,Election Violence,Election Violence,high,"Post-election violence has spread across Mozambique, paralyzing cities and disrupting daily life.",true,excellent,high,true,
https://www.dw.com/en/mozambique-thousands-flee-to-malawi-amid-election-unrest/a-71177712,Election Violence,Election Violence,high,Major cities in Mozambique were paralyzed on Friday as post-election violence spread in the southern African country.,true,good,high,true,no missing topics
https://www.dw.com/en/mozambique-thousands-flee-to-malawi-amid-election-unrest/a-71177712,Election Violence,Humanitarian Response,medium,The situation remains dire as these individuals urgently require humanitarian assistance.,false,good,high,true,no missing topics
https://www.africanews.com/2024/12/30/mozambique-mondlane-announces-break-in-election-protests/,Election Violence,Election Violence,high,More than 250 people have been killed in clashes since rallies against the election outcome began in October.,true,excellent,high,true,none
https://allafrica.com/stories/202412310088.html,Election Violence,Election Violence,high,Thousands of Mozambicans have fled to Malawi to escape violence triggered by the disputed October presidential election.,true,good,high,true,
https://allafrica.com/stories/202412310088.html,Election Violence,Humanitarian Response,medium,He said organizations offering help include the Malawi Red Cross Society and Plan International.,false,good,high,true,
https://allafrica.com/stories/202412300142.html,Election Violence,Election Violence,high,"In the four days 23-26 December, 134 people have been killed by police or in demonstration related incidents.",true,excellent,high,true,
https://www.africanews.com/2024/12/31/mozambique-south-africa-sends-special-envoy-to-help-quell-unrest/,Election Violence,Election Violence,high,Dozens of people have been killed in the protests since the elections.,true,excellent,high,true,
https://www.africanews.com/2025/01/06/exiled-mozambique-opposition-leader-to-return-on-january-9th/,Election Violence,Election Violence,high,"Protests have broken out across the country with police stations, banks, and factories being looted and torched in the past few days.",true,excellent,high,true,
https://allafrica.com/stories/202501060233.html,Election Violence,Election Violence,high,"The disputed election, which has claimed hundreds of lives and led to widespread chaos, including prisoners being freed from custody, comes after weeks of unrest in Mozambique.",true,excellent,high,true,
https://www.dw.com/en/mozambique-tensions-rise-as-main-opposition-leader-returns/a-71253026,Election Violence,Election Violence,high,Authorities fear a repeat of the deadly violence that followed the October election.,true,excellent,high,true,
https://web.archive.org/web/20250115051918/https://www.bbc.com/news/articles/cr7en1452xjo,Election Violence,Election Violence,high,"The outcome sparked a wave of demonstrations – some peaceful but others violent – leading to chaos, including killings and vandalism.",true,excellent,high,true,
https://web.archive.org/web/20241208142137/https://www.bbc.com/news/world-africa-52532741,Insurgency Crisis,Insurgency Crisis,high,"A simmering Islamist rebellion in a remote corner of Mozambique has erupted into open warfare in recent weeks, with reports of massacres, beheadings and the brief seizure of two towns in the northern province of Cabo Delgado.",true,excellent,high,true,
https://www.dw.com/en/mozambique-chapo-sworn-into-office-amid-social-tensions/video-71301709,Election Violence,Election Violence,high,"Supporters of opposition candidate Venancio Mondlane continue to protest as seven people died on Wednesday, increasing the number of fatalities to 307 since the end of elections in October 2024.",true,excellent,high,true,
https://www.africanews.com/2025/01/15/mozambique-daniel-chapo-sworn-in-as-president/,Election Violence,Election Violence,high,The inauguration followed an October election decried as rigged by opposition parties and after months of violent protests against the vote results.,true,excellent,high,true,none
https://www.aljazeera.com/opinions/2025/2/4/sadc-must-act-now-to-save-mozambique-from-becoming-a-failed-state,Election Violence,Election Violence,high,What followed was a violent clash between state security forces and thousands of protesters who came to show their support for the 50-year-old Pentecostal preacher.,true,excellent,high,true,
https://web.archive.org/web/20240715013430/https://www.bbc.com/news/world-africa-65707334,Election Violence,Election Violence,high,"False claims about the spread of a cholera outbreak in northern Mozambique have led to violent protests and deaths, according to health officials.",true,good,high,true,no additional topics needed
https://web.archive.org/web/20240715013430/https://www.bbc.com/news/world-africa-65707334,Election Violence,Social Media Restrictions,medium,Some online posts claim falsely that measures implemented by local health officials... are in fact spreading the disease.,false,good,high,true,no additional topics needed
https://www.bbc.com/news/articles/c78wnz4vjpyo,Election Violence,Election Violence,high,Mozambique is in the throes of one of its worst post-election crises since independence.,true,excellent,high,true,
https://web.archive.org/web/20250115014356/https://www.bbc.com/news/articles/czr722v4x8yo,Election Violence,Election Violence,high,Antonio Juaqim's killing is a tragic reminder of the volatile political climate in the southern African state since Frelimo - the former liberation movement in power since independence 49 years ago - was declared the winner of the poll.,true,excellent,high,true,
